Date : 2026-04-21 02:41:45
Directory : d:\Projects\C\cleonos
Total : 569 files,  108044 codes, 13937 comments, 27927 blanks, all 149908 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        283 |     88,779 |     10,486 |     22,672 |    121,937 |
| C++              |        203 |      9,135 |      3,395 |      3,320 |     15,850 |
| Python           |          9 |      3,649 |         31 |        691 |      4,371 |
| Markdown         |         37 |      2,390 |          0 |        618 |      3,008 |
| Makefile         |          7 |      1,216 |          7 |        211 |      1,434 |
| CMake            |          6 |      1,173 |          0 |        172 |      1,345 |
| YAML             |          8 |        395 |          1 |         89 |        485 |
| JSON             |          1 |        376 |          0 |          1 |        377 |
| XML              |          1 |        339 |          0 |          0 |        339 |
| PowerShell       |          1 |        171 |          2 |         42 |        215 |
| Go Assembly      |          2 |        148 |          0 |         20 |        168 |
| Diff             |          2 |        116 |         10 |         20 |        146 |
| Shell Script     |          3 |         62 |          4 |         33 |         99 |
| Properties       |          2 |         46 |          1 |         20 |         67 |
| Rust             |          2 |         44 |          0 |         15 |         59 |
| Batch            |          1 |          4 |          0 |          2 |          6 |
| pip requirements |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        569 |    108,044 |     13,937 |     27,927 |    149,908 |
| . (Files)                                                                                  |          4 |      1,220 |          0 |        200 |      1,420 |
| .github                                                                                    |          2 |        185 |          1 |         30 |        216 |
| .github\workflows                                                                          |          2 |        185 |          1 |         30 |        216 |
| cleonos                                                                                    |        292 |     62,603 |     12,967 |     17,554 |     93,124 |
| cleonos\c                                                                                  |         96 |     15,172 |        451 |      3,720 |     19,343 |
| cleonos\c (Files)                                                                          |          1 |          3 |          4 |          2 |          9 |
| cleonos\c\apps                                                                             |         80 |     13,349 |        447 |      3,232 |     17,028 |
| cleonos\c\apps (Files)                                                                     |         68 |      7,370 |          2 |      1,778 |      9,150 |
| cleonos\c\apps\doom                                                                        |          3 |      1,366 |          1 |        328 |      1,695 |
| cleonos\c\apps\qrcode                                                                      |          2 |        821 |        444 |        130 |      1,395 |
| cleonos\c\apps\shell                                                                       |          7 |      3,792 |          0 |        996 |      4,788 |
| cleonos\c\include                                                                          |          8 |        326 |          0 |         47 |        373 |
| cleonos\c\src                                                                              |          7 |      1,494 |          0 |        439 |      1,933 |
| cleonos\rust                                                                               |          1 |         23 |          0 |          9 |         32 |
| cleonos\rust\src                                                                           |          1 |         23 |          0 |          9 |         32 |
| cleonos\third-party                                                                        |        195 |     47,408 |     12,516 |     13,825 |     73,749 |
| cleonos\third-party\doomgeneric                                                            |        195 |     47,408 |     12,516 |     13,825 |     73,749 |
| cleonos\third-party\doomgeneric (Files)                                                    |          1 |         51 |          0 |         17 |         68 |
| cleonos\third-party\doomgeneric\doomgeneric                                                |        194 |     47,357 |     12,516 |     13,808 |     73,681 |
| clks                                                                                       |         69 |     12,762 |          4 |      3,358 |     16,124 |
| clks\arch                                                                                  |          4 |        160 |          0 |         22 |        182 |
| clks\arch\aarch64                                                                          |          1 |          6 |          0 |          1 |          7 |
| clks\arch\aarch64\startup                                                                  |          1 |          6 |          0 |          1 |          7 |
| clks\arch\x86_64                                                                           |          3 |        154 |          0 |         21 |        175 |
| clks\arch\x86_64\interrupt                                                                 |          1 |        108 |          0 |         12 |        120 |
| clks\arch\x86_64\startup                                                                   |          2 |         46 |          0 |          9 |         55 |
| clks\include                                                                               |         32 |        718 |          0 |        178 |        896 |
| clks\include\clks                                                                          |         32 |        718 |          0 |        178 |        896 |
| clks\kernel                                                                                |         32 |     11,863 |          4 |      3,152 |     15,019 |
| clks\kernel\boot                                                                           |          1 |         76 |          0 |         26 |        102 |
| clks\kernel\boot\limine                                                                    |          1 |         76 |          0 |         26 |        102 |
| clks\kernel\core                                                                           |          6 |      1,644 |          1 |        401 |      2,046 |
| clks\kernel\hal                                                                            |          7 |        667 |          0 |        182 |        849 |
| clks\kernel\hal\audio                                                                      |          1 |        101 |          0 |         25 |        126 |
| clks\kernel\hal\serial                                                                     |          1 |         51 |          0 |         16 |         67 |
| clks\kernel\hal\video                                                                      |          5 |        515 |          0 |        141 |        656 |
| clks\kernel\input                                                                          |          2 |        613 |          0 |        158 |        771 |
| clks\kernel\interface                                                                      |          3 |      2,690 |          0 |        690 |      3,380 |
| clks\kernel\memory                                                                         |          2 |        219 |          0 |         67 |        286 |
| clks\kernel\runtime                                                                        |          7 |      5,019 |          3 |      1,333 |      6,355 |
| clks\kernel\storage                                                                        |          2 |        856 |          0 |        272 |      1,128 |
| clks\kernel\support                                                                        |          2 |         79 |          0 |         23 |        102 |
| clks\rust                                                                                  |          1 |         21 |          0 |          6 |         27 |
| clks\rust\src                                                                              |          1 |         21 |          0 |          6 |         27 |
| cmake                                                                                      |          5 |        267 |          0 |         64 |        331 |
| configs                                                                                    |          2 |        382 |          0 |          2 |        384 |
| configs (Files)                                                                            |          1 |          6 |          0 |          1 |          7 |
| configs\menuconfig                                                                         |          1 |        376 |          0 |          1 |        377 |
