"filename", "language", "pip requirements", "Python", "Markdown", "YAML", "C", "Makefile", "C++", "JSON", "CMake", "Properties", "Go Assembly", "XML", "Shell Script", "Perl", "Groovy", "Batch", "Ini", "reStructuredText", "PHP", "comment", "blank", "total"
"d:\Projects\C\cleonos\.github\workflows\build-os.yml", "YAML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 9
"d:\Projects\C\cleonos\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, -906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -108, -1014
"d:\Projects\C\cleonos\Makefile", "Makefile", 0, 0, 0, 0, 0, -73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -83
"d:\Projects\C\cleonos\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Projects\C\cleonos\README.zh-CN.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Projects\C\cleonos\bdt\Makefile", "Makefile", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"d:\Projects\C\cleonos\bdt\README.md", "Markdown", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 404
"d:\Projects\C\cleonos\bdt\README.zh-CN.md", "Markdown", 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 393
"d:\Projects\C\cleonos\bdt\src\appbuilder.c", "C", 0, 0, 0, 0, 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 662
"d:\Projects\C\cleonos\bdt\src\bdt.h", "C++", 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 233
"d:\Projects\C\cleonos\bdt\src\cache.c", "C", 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 314
"d:\Projects\C\cleonos\bdt\src\config.c", "C", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"d:\Projects\C\cleonos\bdt\src\diagnostics.c", "C", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 180
"d:\Projects\C\cleonos\bdt\src\executor.c", "C", 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 357
"d:\Projects\C\cleonos\bdt\src\graph.c", "C", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"d:\Projects\C\cleonos\bdt\src\hash.c", "C", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 121
"d:\Projects\C\cleonos\bdt\src\lang.c", "C", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Projects\C\cleonos\bdt\src\log.c", "C", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 95
"d:\Projects\C\cleonos\bdt\src\main.c", "C", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 104
"d:\Projects\C\cleonos\bdt\src\plugin.c", "C", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 83
"d:\Projects\C\cleonos\bdt\src\project.c", "C", 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 280
"d:\Projects\C\cleonos\bdt\src\scanner.c", "C", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"d:\Projects\C\cleonos\bdt\src\shared_cache.c", "C", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 106
"d:\Projects\C\cleonos\bdt\src\status.c", "C", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 221
"d:\Projects\C\cleonos\bdt\src\toolchain.c", "C", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"d:\Projects\C\cleonos\bdt\src\trace.c", "C", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"d:\Projects\C\cleonos\bdt\src\util.c", "C", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 204
"d:\Projects\C\cleonos\bdt\src\view.c", "C", 0, 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 305
"d:\Projects\C\cleonos\cleonos\c\apps\append_main.c", "C", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"d:\Projects\C\cleonos\cleonos\c\apps\benchmark_main.c", "C", 0, 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 401
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_cookie.c", "C", 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 354
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_css.c", "C", 0, 0, 0, 0, 892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 1010
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_dns.c", "C", 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 270
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_dom.c", "C", 0, 0, 0, 0, 1309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 1516
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_fetch.c", "C", 0, 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 376
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_fetch_error.c", "C", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_form.c", "C", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 222
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_http.c", "C", 0, 0, 0, 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78, 446
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_internal.h", "C++", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"d:\Projects\C\cleonos\cleonos\c\apps\browser\browser_output.c", "C", 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45, 249
